7,12506,5590,10158,1000.0000000000000000,1000.0000000000000000
7,12507,5586,10158,1025.0000000000000000,1025.0000000000000000
7,12508,5587,10158,403.0000000000000000,403.0000000000000000
7,12509,6493,10158,89.0000000000000000,89.0000000000000000
7,12510,6494,10158,89.0000000000000000,89.0000000000000000
7,12511,5588,10158,185.0000000000000000,185.0000000000000000
7,12512,6495,10158,127.0000000000000000,127.0000000000000000
7,12513,6496,10158,175.0000000000000000,175.0000000000000000
10,12744,4855,9822,12.0000000000000000,12.0000000000000000
10,12745,4853,9822,136.0000000000000000,136.0000000000000000
10,12746,4852,9822,34.0000000000000000,34.0000000000000000
10,12817,6479,10143,61.0000000000000000,61.0000000000000000
10,12818,6480,10143,366.0000000000000000,366.0000000000000000
10,12820,6161,10143,414.0000000000000000,414.0000000000000000
10,12821,6160,10143,169.0000000000000000,169.0000000000000000
10,12822,6481,10143,20.0000000000000000,20.0000000000000000
